Date,Close,High,Low,Open,Volume,Return,LogReturn,MA_5,MA_20,STD_5,STD_20,Momentum,Volatility,RSI,MACD_Hist,BB_Width,ATR,ATR_norm,GARCH_Vol,Regime,Signal,ML_Proba,ML_Signal
6/2/2020,9979.099609,9995.599609,9824.049805,9880.849609,770200,0.015565528,0.015445628,9638.119922,9257.999902,265.1954258,285.6733672,1155.849609,0.012278413,65.93378171,99.84283926,12.03024234,256.4008615,0.025693787,0.014117735,1,1,0.95943964,1
6/3/2020,10061.5498,10176.2002,10035.5498,10108.2998,794700,0.008262288,0.008228342,9787.439844,9300.797412,247.3289579,336.9280963,1182.450195,0.012186189,67.24353835,113.4460354,14.12338628,252.1651276,0.025062255,0.014117735,1,-1,0.10031492,0
6/4/2020,10029.09961,10123.84961,9944.25,10054.25,775100,-0.003225169,-0.003230381,9895.239844,9338.707373,197.8449399,374.00234,962.5498047,0.012726016,66.16531831,113.5963378,15.6138264,246.9818763,0.024626525,0.014117735,1,1,0.8065514,1
6/5/2020,10142.15039,10177.7998,10040.75,10093.7998,987100,0.011272276,0.011209218,10007.60996,9385.862402,117.4870788,412.8987238,1035.900391,0.0125605,68.08526438,114.3333714,17.15106731,239.9617562,0.02365985,0.014117735,1,1,0.91637707,1
6/8/2020,10167.4502,10328.5,10120.25,10326.75,936500,0.002494521,0.002491415,10075.86992,9431.659912,78.32156199,446.6306464,1128.200195,0.011291373,68.51583794,109.538869,18.462146,237.6966307,0.023378195,0.014117735,1,-1,0.15834396,0
6/9/2020,10046.65039,10291.15039,10021.4502,10181.15039,754200,-0.011881032,-0.011952176,10089.38008,9472.032422,61.46896433,464.4563039,1017.600586,0.013044469,64.07104379,91.95524572,19.11716462,239.9825996,0.023886827,0.014117735,1,1,0.9417161,1
6/10/2020,10116.15039,10148.75,10036.84961,10072.59961,632400,0.006917729,0.006893911,10100.3002,9518.012451,60.12406968,480.9742049,801.2001953,0.010803986,65.45937819,79.2123162,19.70141008,230.8338704,0.022818351,0.014117735,1,-1,0.1594165,0
6/11/2020,9902,10112.0498,9885.049805,10094.09961,715500,-0.021169158,-0.021396438,10074.88027,9543.934961,106.6327774,487.275683,411.9003906,0.013547776,58.01985845,51.888999,19.90531533,230.8529215,0.023313767,0.014117735,1,1,0.8812673,1
6/12/2020,9972.900391,9996.049805,9544.349609,9544.950195,796300,0.007160209,0.007134697,10041.03027,9585.44248,106.8032212,486.6598681,392.6005859,0.013468532,59.65471717,34.93232011,19.79407277,246.6277268,0.024729789,0.014117735,1,-1,0.33248022,0
6/15/2020,9813.700195,9943.349609,9726.349609,9919.349609,716100,-0.015963279,-0.016092065,9970.280273,9619.28501,118.6348047,477.2662504,-12.45019531,0.012460826,54.52048295,10.59804675,19.34370792,246.6222307,0.025130402,0.014117735,1,1,0.9474592,1
6/16/2020,9914,10046.15039,9728.5,10014.7998,899900,0.010220386,0.010168511,9943.750195,9673.82251,111.929349,442.5748115,-65.09960938,0.011814107,57.0297121,-0.548188404,17.83653015,251.6956707,0.025387903,0.014117735,1,-1,0.11288623,0
6/17/2020,9881.150391,10003.59961,9833.799805,9876.700195,685400,-0.003313457,-0.003318958,9896.750195,9723.925049,57.58607658,402.8041111,-180.3994141,0.011410456,55.94110706,-11.34014776,16.15005797,245.845966,0.024880298,0.014117735,1,1,0.93219215,1
6/18/2020,10091.65039,10111.2002,9845.049805,9863.25,622900,0.021303188,0.021079447,9934.680273,9775.180078,104.9162719,379.2867295,62.55078125,0.013502394,61.06933749,-5.788471512,15.12741339,247.296282,0.024505039,0.014117735,1,1,0.8898122,1
6/19/2020,10244.40039,10272.40039,10072.65039,10119,892100,0.015136275,0.015022865,9988.980273,9832.087598,175.8927372,358.4499508,102.25,0.013888204,64.31520617,6.043773872,14.21361606,243.900119,0.02380814,0.014117735,1,1,0.9433703,1
6/22/2020,10311.2002,10393.65039,10277.59961,10318.75,685400,0.006520616,0.006499449,10088.48027,9895.685107,191.9338052,321.2889778,143.75,0.0139914,65.66346799,15.69337681,12.65819418,237.1393962,0.022998234,0.014117735,1,1,0.9151188,1
6/23/2020,10471,10484.7002,10301.75,10347.9502,669200,0.015497692,0.015378829,10199.88027,9967.782617,224.266871,275.0382745,424.3496094,0.01376038,68.70921124,29.36836797,10.75762425,233.268739,0.022277599,0.014117735,1,-1,0.041375622,0
6/24/2020,10305.2998,10553.15039,10281.9502,10529.25,854800,-0.015824677,-0.015951224,10284.71016,10017.3001,136.6807521,237.969819,189.1494141,0.015082821,62.51673162,24.00994282,9.261748628,235.9781288,0.022898716,0.014117735,1,-1,0.1785195,0
6/25/2020,10288.90039,10361.7998,10194.5,10235.5498,994200,-0.001591357,-0.001592625,10324.16016,10057.24014,86.15463488,210.248636,386.9003906,0.012853338,61.92191378,16.47594213,8.150348162,231.0725342,0.022458429,0.014117735,1,1,0.87519634,1
6/26/2020,10383,10409.84961,10311.25,10378.90039,671900,0.00914574,0.009104171,10351.88008,10097.37515,75.7446716,190.057653,410.0996094,0.012924187,64.03635491,14.98751512,7.338354101,223.2065831,0.021497311,0.014117735,1,-1,0.07382122,0
6/29/2020,10312.40039,10337.9502,10223.59961,10311.9502,574500,-0.006799539,-0.006822761,10352.12012,10121.68765,75.58525959,184.5574155,498.7001953,0.011599514,61.28665339,6.821483416,7.108866569,218.6489979,0.021202532,0.014117735,1,-1,0.10811192,0
6/30/2020,10302.09961,10401.0498,10267.34961,10382.59961,556200,-0.000998873,-0.000999372,10318.34004,10137.83765,37.13718534,185.5529475,388.0996094,0.011584219,60.87592279,-1.269281856,7.135827117,212.5812263,0.020634748,0.014117735,1,1,0.9810059,1
7/1/2020,10430.0498,10447.0498,10299.59961,10323.7998,573600,0.012419817,0.012343324,10343.29004,10156.26265,60.64897704,195.6025143,548.8994141,0.011562914,64.09479703,-0.062993011,7.50865765,207.9290098,0.019935572,0.014117735,1,1,0.91027385,1
7/2/2020,10551.7002,10598.2002,10485.5498,10493.0498,597400,0.011663453,0.011595959,10395.85,10182.39268,101.706693,211.9448013,460.0498047,0.01044507,66.88444367,6.505378343,8.115115793,205.0876799,0.019436458,0.014117735,1,1,0.8762748,1
7/3/2020,10607.34961,10631.2998,10562.65039,10614.9502,525200,0.005273976,0.005260117,10440.71992,10205.65264,137.7292801,231.8847054,362.9492188,0.009775089,68.1052392,11.86341905,8.858355719,196.1242462,0.018489468,0.014117735,1,1,0.94266725,1
7/6/2020,10763.65039,10811.40039,10695.09961,10723.84961,571200,0.01473514,0.014627633,10530.96992,10235.46265,175.3356007,262.9557846,452.4501953,0.010380663,71.30489942,22.57826658,10.01606295,196.6904273,0.01827358,0.014117735,1,1,0.9408642,1
7/7/2020,10799.65039,10813.7998,10689.7002,10802.84961,636800,0.00334459,0.00333901,10630.48008,10273.11265,152.6978305,287.2809409,328.6503906,0.00961391,72.00159622,28.36019159,10.90251162,191.5053689,0.017732553,0.014117735,2,-1,0.043982565,0
7/8/2020,10705.75,10847.84961,10676.5498,10818.65039,767900,-0.008694762,-0.008732782,10685.62012,10302.59263,104.3523561,300.2834613,400.4501953,0.008213876,67.4045897,22.39258019,11.36335774,190.0621143,0.017753274,0.014117735,2,1,0.88180506,1
7/9/2020,10813.4502,10836.84961,10733,10755.5498,618700,0.010060033,0.010009767,10737.97012,10348.16514,84.05508281,305.4071411,524.5498047,0.008182601,69.78722406,22.18806026,11.50635135,185.8505068,0.017186976,0.014117735,2,-1,0.07978751,0
7/10/2020,10768.0498,10819.40039,10713,10764.09961,590700,-0.004198511,-0.00420735,10770.11016,10387.92261,41.65089365,305.7401107,385.0498047,0.008515426,67.54578476,15.78536287,11.4748101,180.1754985,0.016732417,0.014117735,2,1,0.9245642,1
7/13/2020,10802.7002,10894.0498,10756.0498,10851.84961,554100,0.003217889,0.003212723,10777.92012,10437.37261,43.74526372,287.4082288,490.2998047,0.007695306,68.38050177,10.90608372,10.73568609,177.1629629,0.016399878,0.014117735,2,-1,0.04204097,0
